Question,Answer
"What are your working hours?","We are open from 9 AM to 6 PM Monday to Friday."
"How can I contact support?","You can contact support via email or live chat."
"Where are you located?","We are located in Pakistan and serve worldwide."
"Do you offer refunds?","Yes, refunds are available within 7 days."
"How can I place an order?","You can place an order through our website."
"What payment methods do you accept?","We accept cards, bank transfer, and online payments."
"Can I track my order?","Yes, you can track your order from your account dashboard."
"Do you provide international shipping?","Yes, we ship internationally."
"How long does delivery take?","Delivery usually takes 3 to 5 business days."
"Can I change my password?","Yes, from account settings."
"I forgot my password, what should I do?","Use the Forgot Password option."
"How do I cancel my order?","You can cancel before shipment."
"Is my data safe?","Yes, your data is fully secure and encrypted."
"Do I need an account to place an order?","Yes, account is required."
"How do I create an account?","Click signup and fill your details."
"Can I update my account information?","Yes, from profile settings."
"What if I receive a damaged product?","Contact support with order ID."
"Do you have weekend support?","Limited support is available on weekends."
"Can I return a product?","Yes, within return policy period."
"How do I apply a discount code?","Enter code at checkout."
"Why is my payment failing?","Check your details or try another payment method."
"Can I change my delivery address?","Yes, before shipment."
"Do you offer cash on delivery?","Yes, in selected regions."
"How do I delete my account?","Contact support to delete your account."
"Can I get an invoice?","Yes, after purchase."
"How do I reset my account?","Use password reset option."
"Is there a mobile app available?","Currently only web version exists."
"What if I don’t receive my order?","Contact support with order ID."
"Do you offer discounts?","Yes, seasonal discounts are available."
"How can I give feedback?","Use contact form on website."
"What languages do you support?","We support English and Urdu."
